rating,genre,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating
PG,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",83,Rotten,49,144,53
R,Comedy,90,Certified Fresh,86,140,64
R,"Comedy, Romance",118,Fresh,68,22,53
NR,"Classics, Drama",95,Certified Fresh,100,51,97
G,"Action & Adventure, Drama, Kids & Family",127,Fresh,89,27,74
PG-13,"Action & Adventure, Classics, Drama",109,Rotten,8,148,37
NR,"Action & Adventure, Classics, Mystery & Suspense",87,Certified Fresh,96,47,86
NR,"Classics, Drama, Western",92,Fresh,96,27,78
PG,"Comedy, Drama, Romance",103,Rotten,20,10,87
NR,"Classics, Drama",97,Fresh,90,10,38
PG-13,"Art House & International, Horror, Mystery & Suspense",100,Fresh,80,15,66
R,"Drama, Mystery & Suspense",110,Fresh,91,22,79
R,Drama,143,Rotten,25,83,64
NR,Drama,97,Fresh,100,7,84
NR,"Classics, Comedy, Romance",100,Fresh,100,27,86
PG,"Art House & International, Drama, Faith & Spirituality",120,Rotten,4,24,35
PG,"Drama, Mystery & Suspense",92,Fresh,100,17,86
R,"Drama, Mystery & Suspense",88,Fresh,69,124,57
G,"Action & Adventure, Animation, Kids & Family",86,Fresh,80,5,82
G,"Documentary, Special Interest",90,Fresh,67,52,80
PG,"Action & Adventure, Classics, Romance",102,Certified Fresh,100,46,89
NR,"Classics, Drama, Mystery & Suspense",105,Fresh,92,12,75
R,"Comedy, Horror, Mystery & Suspense",85,Fresh,75,8,60
R,Comedy,103,Fresh,80,5,91
R,"Art House & International, Drama",87,Rotten,0,6,63
PG-13,"Drama, Science Fiction & Fantasy, Romance",99,Rotten,31,121,71
NR,"Art House & International, Drama",94,Fresh,63,16,80
PG,Comedy,82,Rotten,38,8,
R,"Action & Adventure, Drama, Mystery & Suspense",119,Rotten,41,130,79
R,Comedy,93,Rotten,0,5,61
PG-13,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy",88,Rotten,8,83,30
R,"Action & Adventure, Documentary, Drama, Special Interest",74,Fresh,93,15,48
PG,"Animation, Kids & Family, Science Fiction & Fantasy",94,Rotten,22,91,56
R,Horror,85,Rotten,33,18,83
R,"Horror, Mystery & Suspense",107,Rotten,21,34,40
NR,"Classics, Drama, Romance",152,Rotten,0,11,36
NR,"Classics, Drama, Mystery & Suspense",71,Fresh,100,10,88
R,"Action & Adventure, Comedy, Drama, Mystery & Suspense",97,Certified Fresh,75,154,65
PG-13,"Art House & International, Comedy, Drama",107,Rotten,15,13,66
G,"Art House & International, Drama",129,Fresh,86,29,73
PG-13,"Comedy, Drama",98,Fresh,64,69,85
PG-13,"Comedy, Romance",91,Rotten,32,75,75
PG-13,"Drama, Kids & Family",130,Fresh,60,141,63
NR,"Action & Adventure, Classics, Drama, Western",161,Rotten,50,20,63
R,"Drama, Romance",96,Rotten,24,29,60
G,Classics,135,Rotten,0,8,42
PG,"Classics, Comedy, Drama, Romance",113,Fresh,96,26,77
PG-13,"Drama, Mystery & Suspense",102,Rotten,14,7,65
PG-13,"Drama, Faith & Spirituality",102,Rotten,40,15,78
R,"Drama, Mystery & Suspense",91,Fresh,60,10,67
R,"Action & Adventure, Horror, Science Fiction & Fantasy",138,Certified Fresh,99,72,94
R,"Horror, Mystery & Suspense",98,Rotten,36,14,20
PG,"Classics, Drama",138,Certified Fresh,100,67,94
R,Comedy,86,Rotten,42,38,68
R,"Comedy, Drama",88,Rotten,27,26,58
R,Drama,97,Rotten,21,28,42
PG-13,"Horror, Mystery & Suspense",86,Rotten,9,58,55
PG,"Comedy, Science Fiction & Fantasy",93,Fresh,92,36,67
NR,Drama,150,Fresh,100,5,70
PG-13,"Art House & International, Drama",88,Fresh,67,15,65
NR,"Documentary, Special Interest",77,Certified Fresh,84,50,84
PG,"Classics, Drama",109,Fresh,97,35,78
NR,"Documentary, Special Interest",86,Fresh,100,22,93
NR,"Comedy, Drama",76,Fresh,87,31,64
PG-13,"Documentary, Sports & Fitness",97,Certified Fresh,81,59,80
NR,"Art House & International, Drama, Horror, Mystery & Suspense",92,Fresh,86,35,66
PG-13,"Art House & International, Horror, Mystery & Suspense",117,Rotten,40,5,58
R,"Art House & International, Comedy, Drama",97,Rotten,36,11,48
NR,"Drama, Science Fiction & Fantasy",82,Fresh,63,8,31
R,"Action & Adventure, Comedy",116,Fresh,78,9,82
PG,"Drama, Mystery & Suspense",116,Fresh,68,125,85
R,"Action & Adventure, Drama, Mystery & Suspense, Television",104,Rotten,50,6,38
R,Documentary,118,Fresh,69,51,79
R,"Horror, Mystery & Suspense",88,Rotten,54,13,20
R,"Drama, Mystery & Suspense",106,Rotten,35,48,58
NR,"Documentary, Sports & Fitness",92,Rotten,20,5,
R,"Art House & International, Drama",81,Fresh,100,7,61
R,"Comedy, Drama, Mystery & Suspense",106,Rotten,14,21,31
PG-13,"Comedy, Romance",95,Fresh,67,9,61
R,"Art House & International, Comedy, Drama, Science Fiction & Fantasy",96,Rotten,25,40,29
NR,"Comedy, Drama",107,Certified Fresh,82,60,57
R,"Art House & International, Drama",84,Rotten,58,125,55
PG-13,"Action & Adventure, Documentary, Drama",110,Rotten,0,16,65
R,Comedy,99,Rotten,36,81,40
R,"Drama, Mystery & Suspense, Science Fiction & Fantasy",90,Rotten,18,179,24
PG-13,Comedy,121,Fresh,69,88,79
R,"Drama, Mystery & Suspense",80,Rotten,40,20,33
R,"Drama, Horror, Mystery & Suspense",104,Fresh,100,8,43
PG-13,"Drama, Mystery & Suspense",90,Rotten,55,11,59
