rating,genre,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating
PG,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",83.0,Rotten,49,144,53.0
6,752,90.0,0,86,140,64.0
6,860,118.0,1,68,22,53.0
2,689,95.0,0,100,51,97.0
0,286,127.0,1,89,27,74.0
4,160,109.0,2,8,148,37.0
2,186,87.0,0,96,47,86.0
2,725,92.0,1,96,27,78.0
3,811,103.0,2,20,10,87.0
2,689,97.0,1,90,10,38.0
4,599,100.0,1,80,15,66.0
6,995,110.0,1,91,22,79.0
6,951,143.0,2,25,83,64.0
2,951,97.0,1,100,7,84.0
2,667,100.0,1,100,27,86.0
3,558,120.0,2,4,24,35.0
3,995,92.0,1,100,17,86.0
6,995,88.0,1,69,124,57.0
0,39,86.0,1,80,5,82.0
0,940,90.0,1,67,52,80.0
3,190,102.0,0,100,46,89.0
2,712,105.0,1,92,12,75.0
6,830,85.0,1,75,8,60.0
6,752,103.0,1,80,5,91.0
6,557,87.0,2,0,6,63.0
4,1010,99.0,2,31,121,71.0
2,557,94.0,1,63,16,80.0
3,752,82.0,2,38,8,
6,292,119.0,2,41,130,79.0
6,752,93.0,2,0,5,61.0
4,284,88.0,2,8,83,30.0
6,267,74.0,1,93,15,48.0
3,424,94.0,2,22,91,56.0
6,1025,85.0,2,33,18,83.0
6,1033,107.0,2,21,34,40.0
2,716,152.0,2,0,11,36.0
2,712,71.0,1,100,10,88.0
6,213,97.0,0,75,154,65.0
4,474,107.0,2,15,13,66.0
0,557,129.0,1,86,29,73.0
4,782,98.0,1,64,69,85.0
4,860,91.0,2,32,75,75.0
4,973,130.0,1,60,141,63.0
2,176,161.0,2,50,20,63.0
6,1006,96.0,2,24,29,60.0
0,617,135.0,2,0,8,42.0
3,641,113.0,1,96,26,77.0
4,995,102.0,2,14,7,65.0
4,952,102.0,2,40,15,78.0
6,995,91.0,1,60,10,67.0
6,315,138.0,0,99,72,94.0
6,1033,98.0,2,36,14,20.0
3,689,138.0,0,100,67,94.0
6,752,86.0,2,42,38,68.0
6,782,88.0,2,27,26,58.0
6,951,97.0,2,21,28,42.0
4,1033,86.0,2,9,58,55.0
3,862,93.0,1,92,36,67.0
2,951,150.0,1,100,5,70.0
4,557,88.0,1,67,15,65.0
2,940,77.0,0,84,50,84.0
3,689,109.0,1,97,35,78.0
2,940,86.0,1,100,22,93.0
2,782,76.0,1,87,31,64.0
4,946,97.0,0,81,59,80.0
2,561,92.0,1,86,35,66.0
4,599,117.0,2,40,5,58.0
6,474,97.0,2,36,11,48.0
2,1009,82.0,1,63,8,31.0
6,195,116.0,1,78,9,82.0
3,995,116.0,1,68,125,85.0
6,298,104.0,2,50,6,38.0
6,884,118.0,1,69,51,79.0
6,1033,88.0,2,54,13,20.0
6,995,106.0,2,35,48,58.0
2,946,92.0,2,20,5,
6,557,81.0,1,100,7,61.0
6,806,106.0,2,14,21,31.0
4,860,95.0,1,67,9,61.0
6,492,96.0,2,25,40,29.0
2,782,107.0,0,82,60,57.0
6,557,84.0,2,58,125,55.0
4,261,110.0,2,0,16,65.0
6,752,99.0,2,36,81,40.0
6,998,90.0,2,18,179,24.0
4,752,121.0,1,69,88,79.0
6,995,80.0,2,40,20,33.0
6,959,104.0,1,100,8,43.0
4,995,90.0,2,55,11,59.0
2,951,94.0,0,88,59,69.0
4,884,73.0,2,50,6,33.0
2,923,86.0,1,92,26,63.0
6,995,94.0,2,45,22,39.0
3,411,96.0,2,53,197,58.0
3,940,93.0,0,96,55,87.0
2,594,99.0,1,75,8,78.0
3,752,91.0,2,40,97,52.0
6,951,98.0,2,22,54,45.0
4,959,97.0,2,22,79,43.0
6,1033,87.0,2,13,8,22.0
6,782,101.0,2,14,59,46.0
6,1039,96.0,1,73,11,33.0
6,959,98.0,1,72,32,50.0
6,782,112.0,2,37,75,54.0
4,752,102.0,2,46,153,64.0
3,752,93.0,2,54,13,36.0
6,292,106.0,2,7,115,21.0
3,762,91.0,2,56,9,38.0
6,951,94.0,2,31,13,58.0
4,752,98.0,2,41,27,61.0
6,951,108.0,2,25,8,40.0
2,927,90.0,1,96,26,78.0
6,551,130.0,0,87,46,67.0
3,892,90.0,1,73,59,73.0
2,557,138.0,2,50,6,58.0
4,951,101.0,2,34,47,58.0
6,884,92.0,1,73,26,54.0
6,959,98.0,2,0,13,27.0
4,951,100.0,1,78,27,62.0
6,940,90.0,1,83,6,55.0
3,576,138.0,2,38,21,46.0
2,576,142.0,1,67,6,72.0
4,995,105.0,2,55,95,54.0
4,860,99.0,2,26,131,65.0
6,341,115.0,0,76,163,55.0
6,951,95.0,2,32,71,32.0
4,951,104.0,0,89,118,84.0
6,752,97.0,2,21,19,44.0
4,807,90.0,2,54,118,36.0
6,951,165.0,2,17,18,54.0
6,561,110.0,2,9,11,33.0
6,959,101.0,2,16,148,52.0
6,995,98.0,2,12,105,18.0
2,940,84.0,1,82,22,47.0
3,782,102.0,0,93,46,61.0
2,579,115.0,2,42,24,40.0
4,782,102.0,2,41,123,46.0
4,1055,96.0,2,16,57,52.0
2,557,151.0,0,93,54,76.0
4,247,102.0,2,26,189,32.0
6,602,78.0,1,89,35,82.0
6,782,102.0,1,60,35,56.0
6,641,100.0,2,38,8,32.0
4,1035,116.0,2,44,155,24.0
4,782,107.0,2,49,35,68.0
6,995,90.0,2,31,13,26.0
6,1033,89.0,1,79,19,39.0
4,995,122.0,2,36,169,66.0
2,585,137.0,1,70,66,52.0
2,579,93.0,1,68,38,80.0
6,995,128.0,2,55,211,62.0
4,995,93.0,2,19,31,35.0
6,752,104.0,2,38,42,43.0
6,752,93.0,0,80,40,90.0
4,1033,85.0,2,9,65,33.0
4,314,83.0,2,15,99,46.0
6,1033,88.0,2,49,39,25.0
6,606,103.0,1,64,45,64.0
6,1019,114.0,0,92,136,80.0
6,995,81.0,1,61,36,54.0
6,995,95.0,1,70,27,69.0
6,951,92.0,2,33,18,55.0
6,998,111.0,0,73,213,68.0
3,234,90.0,2,22,126,39.0
6,951,80.0,2,15,39,18.0
4,951,110.0,1,62,169,67.0
4,782,114.0,2,13,147,38.0
6,279,140.0,1,68,276,59.0
2,557,145.0,1,93,14,68.0
6,579,95.0,0,74,57,67.0
3,751,100.0,1,71,7,67.0
6,1064,105.0,2,29,7,31.0
6,995,113.0,1,77,26,81.0
3,793,88.0,2,5,109,44.0
4,244,89.0,2,37,115,38.0
6,752,86.0,2,53,77,28.0
6,987,123.0,2,51,144,65.0
6,845,100.0,2,45,97,58.0
3,389,86.0,2,38,92,38.0
2,940,74.0,1,73,15,65.0
2,752,76.0,1,67,6,41.0
4,995,95.0,2,13,16,19.0
6,995,96.0,0,88,119,89.0
2,557,99.0,2,28,18,18.0
6,951,115.0,2,44,25,58.0
3,389,88.0,2,20,84,49.0
2,474,150.0,0,86,132,66.0
6,860,95.0,2,41,27,46.0
6,951,82.0,2,29,7,
2,951,117.0,1,71,55,65.0
4,752,105.0,2,31,16,41.0
4,1066,111.0,2,23,126,42.0
6,292,102.0,1,61,23,82.0
6,959,78.0,2,0,18,11.0
4,1033,88.0,2,10,118,30.0
6,0,104.0,2,29,17,29.0
4,951,109.0,2,29,21,75.0
6,54,92.0,1,74,34,73.0
3,951,118.0,2,40,20,82.0
6,465,145.0,1,87,15,68.0
2,940,80.0,1,79,24,85.0
6,1033,82.0,1,74,35,49.0
6,806,104.0,1,61,38,49.0
2,1072,164.0,1,78,9,71.0
4,860,107.0,2,44,187,67.0
6,860,99.0,2,36,83,34.0
2,940,111.0,1,72,18,82.0
2,1064,88.0,2,50,8,37.0
2,716,94.0,1,100,12,70.0
6,959,123.0,2,56,153,63.0
4,951,110.0,2,48,136,72.0
6,752,100.0,0,78,238,84.0
4,1033,103.0,2,11,62,34.0
4,557,131.0,0,80,108,92.0
2,782,103.0,1,100,10,67.0
2,615,,1,81,26,100.0
4,294,92.0,2,11,121,30.0
6,1064,106.0,2,50,22,36.0
6,752,90.0,2,5,80,30.0
6,995,96.0,2,16,37,41.0
6,954,84.0,1,70,30,31.0
4,995,109.0,1,71,7,58.0
4,300,106.0,2,20,25,43.0
2,313,91.0,2,33,12,32.0
6,782,96.0,2,27,33,21.0
