rating,genre,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating
6,752,90,0,86,140,64
6,860,118,1,68,22,53
2,689,95,0,100,51,97
0,286,127,1,89,27,74
4,160,109,2,8,148,37
2,186,87,0,96,47,86
2,725,92,1,96,27,78
3,811,103,2,20,10,87
2,689,97,1,90,10,38
4,599,100,1,80,15,66
6,995,110,1,91,22,79
6,951,143,2,25,83,64
2,951,97,1,100,7,84
2,667,100,1,100,27,86
3,558,120,2,4,24,35
3,995,92,1,100,17,86
6,995,88,1,69,124,57
0,39,86,1,80,5,82
0,940,90,1,67,52,80
3,190,102,0,100,46,89
2,712,105,1,92,12,75
6,830,85,1,75,8,60
6,752,103,1,80,5,91
6,557,87,2,0,6,63
4,1010,99,2,31,121,71
2,557,94,1,63,16,80
3,752,82,2,38,8,
6,292,119,2,41,130,79
6,752,93,2,0,5,61
4,284,88,2,8,83,30
6,267,74,1,93,15,48
3,424,94,2,22,91,56
6,1025,85,2,33,18,83
6,1033,107,2,21,34,40
2,716,152,2,0,11,36
2,712,71,1,100,10,88
6,213,97,0,75,154,65
4,474,107,2,15,13,66
0,557,129,1,86,29,73
4,782,98,1,64,69,85
4,860,91,2,32,75,75
4,973,130,1,60,141,63
2,176,161,2,50,20,63
6,1006,96,2,24,29,60
0,617,135,2,0,8,42
3,641,113,1,96,26,77
4,995,102,2,14,7,65
4,952,102,2,40,15,78
6,995,91,1,60,10,67
6,315,138,0,99,72,94
6,1033,98,2,36,14,20
3,689,138,0,100,67,94
6,752,86,2,42,38,68
6,782,88,2,27,26,58
6,951,97,2,21,28,42
4,1033,86,2,9,58,55
3,862,93,1,92,36,67
2,951,150,1,100,5,70
4,557,88,1,67,15,65
2,940,77,0,84,50,84
3,689,109,1,97,35,78
2,940,86,1,100,22,93
2,782,76,1,87,31,64
4,946,97,0,81,59,80
2,561,92,1,86,35,66
4,599,117,2,40,5,58
6,474,97,2,36,11,48
2,1009,82,1,63,8,31
6,195,116,1,78,9,82
3,995,116,1,68,125,85
6,298,104,2,50,6,38
6,884,118,1,69,51,79
6,1033,88,2,54,13,20
6,995,106,2,35,48,58
2,946,92,2,20,5,
6,557,81,1,100,7,61
6,806,106,2,14,21,31
4,860,95,1,67,9,61
6,492,96,2,25,40,29
2,782,107,0,82,60,57
6,557,84,2,58,125,55
4,261,110,2,0,16,65
6,752,99,2,36,81,40
6,998,90,2,18,179,24
4,752,121,1,69,88,79
6,995,80,2,40,20,33
6,959,104,1,100,8,43
4,995,90,2,55,11,59
2,951,94,0,88,59,69
4,884,73,2,50,6,33
2,923,86,1,92,26,63
6,995,94,2,45,22,39
3,411,96,2,53,197,58
3,940,93,0,96,55,87
2,594,99,1,75,8,78
3,752,91,2,40,97,52
6,951,98,2,22,54,45
4,959,97,2,22,79,43
6,1033,87,2,13,8,22
6,782,101,2,14,59,46
6,1039,96,1,73,11,33
6,959,98,1,72,32,50
6,782,112,2,37,75,54
4,752,102,2,46,153,64
3,752,93,2,54,13,36
6,292,106,2,7,115,21
3,762,91,2,56,9,38
6,951,94,2,31,13,58
4,752,98,2,41,27,61
6,951,108,2,25,8,40
2,927,90,1,96,26,78
6,551,130,0,87,46,67
3,892,90,1,73,59,73
2,557,138,2,50,6,58
4,951,101,2,34,47,58
6,884,92,1,73,26,54
6,959,98,2,0,13,27
4,951,100,1,78,27,62
6,940,90,1,83,6,55
3,576,138,2,38,21,46
2,576,142,1,67,6,72
4,995,105,2,55,95,54
4,860,99,2,26,131,65
6,341,115,0,76,163,55
6,951,95,2,32,71,32
4,951,104,0,89,118,84
6,752,97,2,21,19,44
4,807,90,2,54,118,36
6,951,165,2,17,18,54
6,561,110,2,9,11,33
6,959,101,2,16,148,52
6,995,98,2,12,105,18
2,940,84,1,82,22,47
3,782,102,0,93,46,61
2,579,115,2,42,24,40
